triplet_number,Genes_triplet,clique_number,human_abs_number,mouse_abs_number,dog_abs_number,human_specific_number,mouse_specific_number,dog_specific_number,total
121,ENSG00000158793-ENSMUSG00000013997-ENSCAFG00000012736,14,0,0,3,2,0,1,51
124,ENSG00000105419-ENSMUSG00000041420-ENSCAFG00000004161,0,0,0,25,1,0,22,73
135,ENSG00000148180-ENSMUSG00000026879-ENSCAFG00000003663,0,0,0,37,6,0,36,116
138,ENSG00000151746-ENSMUSG00000003452-ENSCAFG00000010619,14,0,0,9,0,1,0,61
142,ENSG00000013619-ENSMUSG00000059401-ENSCAFG00000019116,8,0,0,2,5,0,0,33
147,ENSG00000179915-ENSMUSG00000024109-ENSCAFG00000030961,17,0,0,32,3,0,0,118
150,ENSG00000203970-ENSMUSG00000067773-ENSCAFG00000023065,3,0,0,2,1,1,1,16
154,ENSG00000159479-ENSMUSG00000006392-ENSCAFG00000005237,10,0,0,5,3,3,9,55
158,ENSG00000155111-ENSMUSG00000038481-ENSCAFG00000003902,24,0,0,3,0,0,0,78
169,ENSG00000185532-ENSMUSG00000052920-ENSCAFG00000031979,0,0,0,38,0,0,30,106
177,ENSG00000120616-ENSMUSG00000024240-ENSCAFG00000004100,30,0,0,4,0,0,1,99
178,ENSG00000108387-ENSMUSG00000020486-ENSCAFG00000017532,29,0,0,2,4,0,5,100
179,ENSG00000061676-ENSMUSG00000027002-ENSCAFG00000014355,62,0,0,3,0,0,0,192
186,ENSG00000143322-ENSMUSG00000026596-ENSCAFG00000013920,26,0,0,2,2,1,2,87
201,ENSG00000133030-ENSMUSG00000005417-ENSCAFG00000018501,42,0,0,7,0,0,0,140
205,ENSG00000044459-ENSMUSG00000038070-ENSCAFG00000001566,0,0,0,14,39,40,52,159
208,ENSG00000163462-ENSMUSG00000042766-ENSCAFG00000017047,22,0,0,2,5,0,3,78
213,ENSG00000196792-ENSMUSG00000020954-ENSCAFG00000012823,32,0,0,4,0,0,0,104
227,ENSG00000188981-ENSMUSG00000051246-ENSCAFG00000014681,5,0,0,4,0,0,1,24
230,ENSG00000154914-ENSMUSG00000020905-ENSCAFG00000017439,29,0,0,2,0,0,1,92
231,ENSG00000121579-ENSMUSG00000022698-ENSCAFG00000010694,0,0,0,11,0,0,6,28
234,ENSG00000157869-ENSMUSG00000029128-ENSCAFG00000007005,0,0,0,16,2,2,2,38
237,ENSG00000237515-ENSMUSG00000022494-ENSCAFG00000018839,0,0,0,10,2,0,6,28
245,ENSG00000148737-ENSMUSG00000024985-ENSCAFG00000011005,0,0,0,43,0,0,22,108
250,ENSG00000132466-ENSMUSG00000055204-ENSCAFG00000002998,69,0,0,1,0,0,1,210
253,ENSG00000150627-ENSMUSG00000039375-ENSCAFG00000008450,0,0,0,63,0,0,60,186
255,ENSG00000149177-ENSMUSG00000025314-ENSCAFG00000008279,0,0,0,48,5,7,28,136
258,ENSG00000091428-ENSMUSG00000049044-ENSCAFG00000013096,58,0,0,8,0,0,0,190
261,ENSG00000072858-ENSMUSG00000022696-ENSCAFG00000010667,0,0,0,52,0,0,50,154
266,ENSG00000197043-ENSMUSG00000018340-ENSCAFG00000017943,48,0,0,3,0,0,0,150
278,ENSG00000172733-ENSMUSG00000049184-ENSCAFG00000006442,4,0,0,1,0,0,1,15
279,ENSG00000130226-ENSMUSG00000061576-ENSCAFG00000005036,52,0,0,4,2,2,0,168
282,ENSG00000073060-ENSMUSG00000037936-ENSCAFG00000006968,22,0,0,5,0,0,0,76
296,ENSG00000106799-ENSMUSG00000007613-ENSCAFG00000002528,16,0,0,4,0,2,0,58
299,ENSG00000145198-ENSMUSG00000046613-ENSCAFG00000012429,32,0,0,8,0,1,11,124
302,ENSG00000157782-ENSMUSG00000029544-ENSCAFG00000010401,14,0,0,2,0,0,4,50
306,ENSG00000196405-ENSMUSG00000021262-ENSCAFG00000017889,29,0,0,4,0,0,0,95
308,ENSG00000184719-ENSMUSG00000071573-ENSCAFG00000030804,8,0,0,5,5,0,7,46
316,ENSG00000165443-ENSMUSG00000037747-ENSCAFG00000012396,9,0,0,2,2,0,1,34
318,ENSG00000134046-ENSMUSG00000024513-ENSCAFG00000032711,10,0,0,3,2,2,0,40
319,ENSG00000124357-ENSMUSG00000034744-ENSCAFG00000030475,0,0,0,20,1,3,8,52
321,ENSG00000054796-ENSMUSG00000005883-ENSCAFG00000012031,25,0,0,1,0,1,2,80
335,ENSG00000065054-ENSMUSG00000002504-ENSCAFG00000019449,15,0,0,2,0,0,0,49
339,ENSG00000061273-ENSMUSG00000022475-ENSCAFG00000009152,48,0,0,4,2,1,0,155
342,ENSG00000092445-ENSMUSG00000027298-ENSCAFG00000009632,36,0,0,3,0,2,3,119
343,ENSG00000170234-ENSMUSG00000044950-ENSCAFG00000017277,6,0,0,4,0,0,0,26
346,ENSG00000103249-ENSMUSG00000036636-ENSCAFG00000019565,48,0,0,3,0,2,0,152
357,ENSG00000185760-ENSMUSG00000028033-ENSCAFG00000002645,24,0,0,7,0,0,0,86
365,ENSG00000141376-ENSMUSG00000059439-ENSCAFG00000017748,0,0,0,53,0,0,52,158
370,ENSG00000089094-ENSMUSG00000029475-ENSCAFG00000008259,47,0,0,2,5,0,0,150
374,ENSG00000136689-ENSMUSG00000026981-ENSCAFG00000007277,7,0,0,4,3,2,1,35
378,ENSG00000061938-ENSMUSG00000022791-ENSCAFG00000012918,26,0,0,10,2,0,0,100
379,ENSG00000154310-ENSMUSG00000027692-ENSCAFG00000015157,60,0,0,7,0,0,0,194
398,ENSG00000187824-ENSMUSG00000050270-ENSCAFG00000017596,0,0,0,12,0,2,10,36
399,ENSG00000072062-ENSMUSG00000005469-ENSCAFG00000016488,16,0,0,7,0,0,0,62
402,ENSG00000163599-ENSMUSG00000026011-ENSCAFG00000012876,8,0,0,1,0,0,0,26
428,ENSG00000172159-ENSMUSG00000049122-ENSCAFG00000001446,29,0,0,2,6,0,1,98
430,ENSG00000184743-ENSMUSG00000024759-ENSCAFG00000015073,24,0,0,3,0,2,0,80
446,ENSG00000112339-ENSMUSG00000019977-ENSCAFG00000000226,38,0,0,1,0,0,0,116
448,ENSG00000055118-ENSMUSG00000038319-ENSCAFG00000025442,22,0,0,10,0,0,16,102
450,ENSG00000038274-ENSMUSG00000042032-ENSCAFG00000017181,14,0,0,2,0,0,0,46
452,ENSG00000136110-ENSMUSG00000022025-ENSCAFG00000004829,10,0,0,7,0,0,0,44
454,ENSG00000166405-ENSMUSG00000048330-ENSCAFG00000006903,11,0,0,2,0,0,1,38
456,ENSG00000138030-ENSMUSG00000029162-ENSCAFG00000004673,0,0,0,18,0,0,22,58
462,ENSG00000198742-ENSMUSG00000038780-ENSCAFG00000015133,24,0,0,16,0,0,0,104
465,ENSG00000140479-ENSMUSG00000030513-ENSCAFG00000010529,0,0,0,44,6,0,46,140
471,ENSG00000132463-ENSMUSG00000044221-ENSCAFG00000002922,14,0,0,7,1,0,0,57
472,ENSG00000100320-ENSMUSG00000033565-ENSCAFG00000001701,27,0,0,6,0,2,0,95
476,ENSG00000114416-ENSMUSG00000027680-ENSCAFG00000011582,34,0,0,4,0,0,1,111
480,ENSG00000136717-ENSMUSG00000024381-ENSCAFG00000004606,38,0,0,4,0,0,0,122
484,ENSG00000080493-ENSMUSG00000060961-ENSCAFG00000002939,50,0,0,3,0,0,1,157
485,ENSG00000076248-ENSMUSG00000029591-ENSCAFG00000011144,12,0,0,3,0,0,0,42
487,ENSG00000107147-ENSMUSG00000058740-ENSCAFG00000019737,64,0,0,2,4,0,0,200
489,ENSG00000008294-ENSMUSG00000020859-ENSCAFG00000017265,68,0,0,2,0,0,5,213
496,ENSG00000163743-ENSMUSG00000029397-ENSCAFG00000032536,17,0,0,1,2,0,6,61
503,ENSG00000143401-ENSMUSG00000015749-ENSCAFG00000011748,0,0,0,17,0,1,20,55
504,ENSG00000153317-ENSMUSG00000022377-ENSCAFG00000001096,61,0,0,3,0,0,0,189
516,ENSG00000113657-ENSMUSG00000024501-ENSCAFG00000006607,28,0,0,2,0,2,0,90
517,ENSG00000184271-ENSMUSG00000009739-ENSCAFG00000007790,10,0,0,13,0,0,3,59
519,ENSG00000103710-ENSMUSG00000041696-ENSCAFG00000017123,6,0,0,5,0,2,0,30
523,ENSG00000139116-ENSMUSG00000022629-ENSCAFG00000010250,70,0,0,8,0,0,0,226
524,ENSG00000106278-ENSMUSG00000068748-ENSCAFG00000003510,0,0,0,61,0,0,26,148
525,ENSG00000198467-ENSMUSG00000028464-ENSCAFG00000002086,18,0,0,4,0,0,1,63
536,ENSG00000187391-ENSMUSG00000040003-ENSCAFG00000004366,0,0,0,48,0,0,42,138
537,ENSG00000099385-ENSMUSG00000030814-ENSCAFG00000016715,13,0,0,1,0,0,1,42
551,ENSG00000143369-ENSMUSG00000028108-ENSCAFG00000012022,0,0,0,23,2,0,8,56
554,ENSG00000171189-ENSMUSG00000022935-ENSCAFG00000008768,32,0,0,7,0,0,0,110
562,ENSG00000198055-ENSMUSG00000074886-ENSCAFG00000016388,33,0,0,3,0,0,5,110
571,ENSG00000111846-ENSMUSG00000021360-ENSCAFG00000009680,4,0,0,5,1,1,2,26
572,ENSG00000154153-ENSMUSG00000022270-ENSCAFG00000019100,13,0,0,7,0,0,1,54
573,ENSG00000163618-ENSMUSG00000054423-ENSCAFG00000007072,0,0,0,65,0,0,60,190
580,ENSG00000148219-ENSMUSG00000028373-ENSCAFG00000003504,44,0,0,7,4,0,0,150
596,ENSG00000159352-ENSMUSG00000005625-ENSCAFG00000012565,20,0,0,1,0,0,0,62
597,ENSG00000066248-ENSMUSG00000026259-ENSCAFG00000011587,27,0,0,3,0,0,1,88
598,ENSG00000141551-ENSMUSG00000025162-ENSCAFG00000006059,0,0,0,20,0,0,16,56
601,ENSG00000187164-ENSMUSG00000041362-ENSCAFG00000011908,30,0,0,8,0,0,9,115
609,ENSG00000155511-ENSMUSG00000020524-ENSCAFG00000017765,33,0,0,3,2,0,1,108
627,ENSG00000143437-ENSMUSG00000015522-ENSCAFG00000012149,43,0,0,4,0,0,0,137
631,ENSG00000160781-ENSMUSG00000041423-ENSCAFG00000016844,0,0,0,15,6,0,10,46
632,ENSG00000204371-ENSMUSG00000013787-ENSCAFG00000000669,54,0,0,3,0,0,0,168
645,ENSG00000136153-ENSMUSG00000033060-ENSCAFG00000005061,63,0,0,1,4,0,1,196
646,ENSG00000213199-ENSMUSG00000038276-ENSCAFG00000004709,0,0,0,22,3,1,20,68
648,ENSG00000163219-ENSMUSG00000030047-ENSCAFG00000003268,0,0,0,23,2,1,8,57
655,ENSG00000173848-ENSMUSG00000021215-ENSCAFG00000005241,20,0,0,6,0,0,0,72
658,ENSG00000113758-ENSMUSG00000034675-ENSCAFG00000016357,26,0,0,5,2,1,0,91
668,ENSG00000161813-ENSMUSG00000023025-ENSCAFG00000008174,32,0,0,4,1,0,0,105
671,ENSG00000240771-ENSMUSG00000019467-ENSCAFG00000000250,32,0,0,2,0,2,0,102
675,ENSG00000166881-ENSMUSG00000040195-ENSCAFG00000000159,16,0,0,4,0,0,2,58
680,ENSG00000158813-ENSMUSG00000059327-ENSCAFG00000029925,14,0,0,6,4,2,2,62
681,ENSG00000125744-ENSMUSG00000030401-ENSCAFG00000004439,21,0,0,2,0,0,1,68
699,ENSG00000213047-ENSMUSG00000056268-ENSCAFG00000011353,28,0,0,19,3,1,0,126
702,ENSG00000145888-ENSMUSG00000000263-ENSCAFG00000017827,17,0,0,2,0,0,1,56
706,ENSG00000163092-ENSMUSG00000027022-ENSCAFG00000011682,14,0,0,4,7,0,9,66
707,ENSG00000091527-ENSMUSG00000032803-ENSCAFG00000006436,10,0,0,6,2,0,0,44
709,ENSG00000143398-ENSMUSG00000028126-ENSCAFG00000012554,30,0,0,1,2,1,0,95
717,ENSG00000169129-ENSMUSG00000025083-ENSCAFG00000011348,0,0,0,38,1,5,40,122
723,ENSG00000168528-ENSMUSG00000023232-ENSCAFG00000011063,17,0,0,9,2,0,1,72
726,ENSG00000133135-ENSMUSG00000031438-ENSCAFG00000017931,14,0,0,2,0,0,0,46
741,ENSG00000141867-ENSMUSG00000024002-ENSCAFG00000016085,22,0,0,18,2,1,21,126
742,ENSG00000101974-ENSMUSG00000062949-ENSCAFG00000019020,60,0,0,2,0,0,0,184
748,ENSG00000156642-ENSMUSG00000032336-ENSCAFG00000017808,14,0,0,4,0,0,0,50
750,ENSG00000137486-ENSMUSG00000018909-ENSCAFG00000005415,30,0,0,4,0,0,0,98
760,ENSG00000107263-ENSMUSG00000039844-ENSCAFG00000019902,54,0,0,3,2,0,0,170
771,ENSG00000041988-ENSMUSG00000039759-ENSCAFG00000019625,0,0,0,8,6,0,10,32
772,ENSG00000136238-ENSMUSG00000001847-ENSCAFG00000015716,13,0,0,1,0,0,2,43
775,ENSG00000130755-ENSMUSG00000060791-ENSCAFG00000028607,0,0,0,17,0,0,8,42
776,ENSG00000149091-ENSMUSG00000040479-ENSCAFG00000009248,0,0,0,67,4,0,69,207
778,ENSG00000170473-ENSMUSG00000064030-ENSCAFG00000000076,6,0,0,2,0,0,0,22
783,ENSG00000165626-ENSMUSG00000048186-ENSCAFG00000004736,0,0,0,19,6,0,16,60
785,ENSG00000166317-ENSMUSG00000039376-ENSCAFG00000014847,4,0,0,7,0,0,0,26
789,ENSG00000163785-ENSMUSG00000032547-ENSCAFG00000006715,0,0,0,31,0,0,30,92
805,ENSG00000205268-ENSMUSG00000069094-ENSCAFG00000007279,26,0,0,2,0,0,0,82
813,ENSG00000067191-ENSMUSG00000020882-ENSCAFG00000016510,24,0,0,9,0,0,0,90
814,ENSG00000174015-ENSMUSG00000034913-ENSCAFG00000004519,6,0,0,2,0,1,0,23
815,ENSG00000178177-ENSMUSG00000015882-ENSCAFG00000016672,10,0,0,7,0,0,0,44
818,ENSG00000187098-ENSMUSG00000035158-ENSCAFG00000006496,26,0,0,2,2,0,0,84
819,ENSG00000137203-ENSMUSG00000021359-ENSCAFG00000009658,14,0,0,4,0,0,0,50
823,ENSG00000117598-ENSMUSG00000033342-ENSCAFG00000020057,0,0,0,13,0,0,10,36
825,ENSG00000151276-ENSMUSG00000045095-ENSCAFG00000006722,30,0,0,25,0,1,0,141
835,ENSG00000136932-ENSMUSG00000028331-ENSCAFG00000002460,0,0,0,11,0,3,10,35
837,ENSG00000167535-ENSMUSG00000003352-ENSCAFG00000008857,26,0,0,2,2,0,0,84
838,ENSG00000140416-ENSMUSG00000032366-ENSCAFG00000016966,27,0,0,4,0,0,3,92
840,ENSG00000166833-ENSMUSG00000052512-ENSCAFG00000009777,82,0,0,2,2,1,0,253
863,ENSG00000133083-ENSMUSG00000027797-ENSCAFG00000006231,39,0,0,1,0,0,1,120
866,ENSG00000125388-ENSMUSG00000052783-ENSCAFG00000014693,0,0,0,30,2,5,30,97
877,ENSG00000144061-ENSMUSG00000027378-ENSCAFG00000007057,0,0,0,41,1,1,43,127
882,ENSG00000076826-ENSMUSG00000044433-ENSCAFG00000018288,0,0,0,38,0,1,22,99
898,ENSG00000008277-ENSMUSG00000040537-ENSCAFG00000001852,0,0,0,67,0,0,64,198
899,ENSG00000181830-ENSMUSG00000049922-ENSCAFG00000031937,4,0,0,1,0,0,0,14
904,ENSG00000175806-ENSMUSG00000054733-ENSCAFG00000008143,10,0,0,5,2,0,3,45
907,ENSG00000131018-ENSMUSG00000096054-ENSCAFG00000000445,97,0,0,197,5,0,200,890
908,ENSG00000129116-ENSMUSG00000058056-ENSCAFG00000007492,43,0,0,2,0,1,8,142
909,ENSG00000116641-ENSMUSG00000028556-ENSCAFG00000018765,92,0,0,10,3,0,0,299
941,ENSG00000124313-ENSMUSG00000041115-ENSCAFG00000016179,28,0,0,8,0,0,0,100
953,ENSG00000239264-ENSMUSG00000038991-ENSCAFG00000009582,18,0,0,3,0,2,0,62
965,ENSG00000147041-ENSMUSG00000054453-ENSCAFG00000013969,0,0,0,34,0,0,34,102
967,ENSG00000198270-ENSMUSG00000029452-ENSCAFG00000008770,0,0,0,21,4,2,22,70
987,ENSG00000138670-ENSMUSG00000089809-ENSCAFG00000008919,26,0,0,1,0,0,0,80
988,ENSG00000102878-ENSMUSG00000033249-ENSCAFG00000020379,0,0,0,29,0,0,28,86
989,ENSG00000129682-ENSMUSG00000031137-ENSCAFG00000032672,10,0,0,7,0,0,0,44
996,ENSG00000188158-ENSMUSG00000059493-ENSCAFG00000012783,12,0,0,9,0,0,0,54
998,ENSG00000139219-ENSMUSG00000022483-ENSCAFG00000009059,24,0,0,85,0,0,85,327
999,ENSG00000189056-ENSMUSG00000042453-ENSCAFG00000025345,0,0,0,130,0,0,128,388
1001,ENSG00000168763-ENSMUSG00000001138-ENSCAFG00000023414,0,0,0,18,0,0,18,54
1005,ENSG00000119950-ENSMUSG00000025025-ENSCAFG00000010706,13,0,0,2,0,0,0,43
1007,ENSG00000164904-ENSMUSG00000053644-ENSCAFG00000000588,36,0,0,1,0,1,1,112
1013,ENSG00000119866-ENSMUSG00000000861-ENSCAFG00000002955,13,0,0,1,0,0,0,41
1018,ENSG00000147650-ENSMUSG00000022305-ENSCAFG00000000677,6,0,0,9,0,0,0,36
1053,ENSG00000144451-ENSMUSG00000053153-ENSCAFG00000014259,0,0,0,32,1,4,6,75
1054,ENSG00000173511-ENSMUSG00000024962-ENSCAFG00000014577,12,0,0,4,0,0,1,45
1060,ENSG00000125798-ENSMUSG00000037025-ENSCAFG00000005168,4,0,0,1,0,0,0,14
1061,ENSG00000102466-ENSMUSG00000025551-ENSCAFG00000005926,0,0,0,12,0,0,8,32
1063,ENSG00000186111-ENSMUSG00000034902-ENSCAFG00000019205,0,0,0,38,1,0,24,101
1074,ENSG00000156515-ENSMUSG00000037012-ENSCAFG00000013917,36,0,0,6,2,2,0,124
1081,ENSG00000165966-ENSMUSG00000036218-ENSCAFG00000009821,16,0,0,6,0,0,0,60
1082,ENSG00000169851-ENSMUSG00000029108-ENSCAFG00000016342,0,0,0,9,1,0,8,27
1087,ENSG00000179299-ENSMUSG00000029206-ENSCAFG00000015893,0,0,0,23,0,5,24,75
1093,ENSG00000130558-ENSMUSG00000026833-ENSCAFG00000032227,6,0,0,10,3,1,0,42
1098,ENSG00000104067-ENSMUSG00000030516-ENSCAFG00000010407,52,0,0,7,2,0,0,172
1109,ENSG00000139613-ENSMUSG00000025369-ENSCAFG00000000109,0,0,0,60,0,0,56,176
1114,ENSG00000165995-ENSMUSG00000057914-ENSCAFG00000004474,26,0,0,12,2,1,0,105
1118,ENSG00000150672-ENSMUSG00000052572-ENSCAFG00000004544,49,0,0,4,8,4,2,169
1120,ENSG00000172292-ENSMUSG00000027035-ENSCAFG00000011826,19,0,0,3,0,0,1,64
1124,ENSG00000121577-ENSMUSG00000022803-ENSCAFG00000030985,0,0,0,9,2,0,4,24
1126,ENSG00000145362-ENSMUSG00000032826-ENSCAFG00000011769,106,0,0,2,0,0,0,322
1131,ENSG00000133216-ENSMUSG00000028664-ENSCAFG00000014323,30,0,0,4,3,1,0,102
1132,ENSG00000136021-ENSMUSG00000069539-ENSCAFG00000006752,33,0,0,3,0,1,1,107
1138,ENSG00000122375-ENSMUSG00000021799-ENSCAFG00000015975,0,0,0,20,2,2,20,64
1159,ENSG00000064787-ENSMUSG00000013523-ENSCAFG00000011825,16,0,0,9,0,1,10,77
1161,ENSG00000148541-ENSMUSG00000043259-ENSCAFG00000012414,26,0,0,5,0,0,0,88
1171,ENSG00000091622-ENSMUSG00000040543-ENSCAFG00000015453,36,0,0,5,0,0,0,118
1181,ENSG00000111450-ENSMUSG00000029428-ENSCAFG00000006694,0,0,0,22,0,0,20,64
1197,ENSG00000159082-ENSMUSG00000022973-ENSCAFG00000009041,65,0,0,3,0,0,0,201
1198,ENSG00000134508-ENSMUSG00000040957-ENSCAFG00000018207,16,0,0,5,2,0,0,60
1199,ENSG00000113851-ENSMUSG00000005362-ENSCAFG00000029831,0,0,0,23,0,0,4,50
1209,ENSG00000151233-ENSMUSG00000036197-ENSCAFG00000009790,14,0,0,3,0,2,0,50
1212,ENSG00000111859-ENSMUSG00000021365-ENSCAFG00000009773,14,0,0,2,2,0,0,48
1215,ENSG00000180481-ENSMUSG00000020214-ENSCAFG00000029990,6,0,0,6,1,1,2,34
1216,ENSG00000118507-ENSMUSG00000039166-ENSCAFG00000001147,18,0,0,3,0,0,4,64
1227,ENSG00000197226-ENSMUSG00000036644-ENSCAFG00000000381,0,0,0,44,1,0,42,131
1231,ENSG00000166589-ENSMUSG00000031881-ENSCAFG00000020397,36,0,0,2,0,2,0,114
1235,ENSG00000053747-ENSMUSG00000024421-ENSCAFG00000018173,152,0,0,1,1,0,0,459
1239,ENSG00000125107-ENSMUSG00000036550-ENSCAFG00000008426,0,0,0,98,1,0,98,295
1255,ENSG00000186635-ENSMUSG00000032812-ENSCAFG00000005677,0,0,0,40,28,26,70,204
1258,ENSG00000154380-ENSMUSG00000022995-ENSCAFG00000016185,0,0,0,35,0,0,28,98
1265,ENSG00000132603-ENSMUSG00000031917-ENSCAFG00000029835,8,0,0,2,0,0,0,28
1266,ENSG00000198929-ENSMUSG00000038473-ENSCAFG00000013086,14,0,0,9,1,0,12,73
1268,ENSG00000008441-ENSMUSG00000001911-ENSCAFG00000017009,23,0,0,2,0,1,0,74
1269,ENSG00000156304-ENSMUSG00000022983-ENSCAFG00000008863,0,0,0,42,0,0,40,124
1278,ENSG00000173744-ENSMUSG00000026159-ENSCAFG00000010465,0,0,0,31,0,0,30,92
1280,ENSG00000161791-ENSMUSG00000023008-ENSCAFG00000008465,53,0,0,1,0,0,1,162
1282,ENSG00000104413-ENSMUSG00000040728-ENSCAFG00000009305,24,0,0,11,0,0,0,94
1288,ENSG00000127838-ENSMUSG00000026179-ENSCAFG00000014632,21,0,0,3,0,0,1,70
1291,ENSG00000038532-ENSMUSG00000068663-ENSCAFG00000018920,49,0,0,1,0,0,0,149
1294,ENSG00000118200-ENSMUSG00000041570-ENSCAFG00000011082,0,0,0,36,1,4,34,111
1298,ENSG00000141503-ENSMUSG00000020827-ENSCAFG00000015747,44,0,0,25,0,0,0,182
1308,ENSG00000141298-ENSMUSG00000037926-ENSCAFG00000018965,29,0,0,6,0,0,0,99
1314,ENSG00000063015-ENSMUSG00000000632-ENSCAFG00000018854,34,0,0,3,0,0,1,109
1321,ENSG00000182541-ENSMUSG00000020451-ENSCAFG00000013044,34,0,0,1,2,0,3,109
1325,ENSG00000089159-ENSMUSG00000029528-ENSCAFG00000010241,16,0,0,9,1,0,0,67
1338,ENSG00000007402-ENSMUSG00000010066-ENSCAFG00000010431,0,0,0,81,0,0,76,238
1341,ENSG00000156983-ENSMUSG00000001632-ENSCAFG00000005408,25,0,0,3,0,0,1,82
1343,ENSG00000182132-ENSMUSG00000053519-ENSCAFG00000016951,0,0,0,21,1,0,16,59
1354,ENSG00000100105-ENSMUSG00000020453-ENSCAFG00000013087,13,0,0,1,0,0,1,42
1357,ENSG00000066405-ENSMUSG00000032473-ENSCAFG00000028766,10,0,0,3,0,0,1,37
1358,ENSG00000157388-ENSMUSG00000015968-ENSCAFG00000008525,100,0,0,2,0,0,1,305
1361,ENSG00000130940-ENSMUSG00000028977-ENSCAFG00000016771,0,0,0,37,0,0,28,102
1363,ENSG00000180448-ENSMUSG00000035697-ENSCAFG00000019552,0,0,0,48,5,2,48,151
1381,ENSG00000172239-ENSMUSG00000025451-ENSCAFG00000018563,8,0,0,17,0,0,0,58
1383,ENSG00000115414-ENSMUSG00000026193-ENSCAFG00000014345,0,0,0,94,2,0,86,276
1384,ENSG00000004777-ENSMUSG00000036882-ENSCAFG00000006785,18,0,0,28,1,2,0,113
1387,ENSG00000086712-ENSMUSG00000038344-ENSCAFG00000012620,18,0,0,3,0,3,0,63
1389,ENSG00000132535-ENSMUSG00000020886-ENSCAFG00000015995,0,0,0,47,0,0,20,114
1395,ENSG00000140832-ENSMUSG00000001672-ENSCAFG00000020193,2,0,0,7,2,0,0,22
1396,ENSG00000170390-ENSMUSG00000028078-ENSCAFG00000007870,0,0,0,35,0,1,30,101
1412,ENSG00000124942-ENSMUSG00000069833-ENSCAFG00000032525,5,0,0,5,0,0,1,26
1426,ENSG00000135069-ENSMUSG00000024640-ENSCAFG00000001570,18,0,0,1,0,2,0,58
1428,ENSG00000179520-ENSMUSG00000019935-ENSCAFG00000006786,0,0,0,25,0,0,26,76
1432,ENSG00000152254-ENSMUSG00000005232-ENSCAFG00000011872,8,0,0,3,0,0,0,30
1434,ENSG00000070785-ENSMUSG00000028683-ENSCAFG00000004681,21,0,0,2,1,1,1,70
1438,ENSG00000159692-ENSMUSG00000037373-ENSCAFG00000016687,16,0,0,7,0,0,0,62
1440,ENSG00000075142-ENSMUSG00000003161-ENSCAFG00000001855,16,0,0,3,0,0,5,59
