ERROR: position ortholog index to check. ENSCAFG00000017566 ENSMUSG00000030779 [*:7:21511232:9 [*:9:122970962
ERROR: position ortholog index to check. ENSG00000174516 ENSCAFG00000012682 ]*:53:66476167:45 ]-:45:50872603
ERROR: position ortholog index to check. ENSG00000174516 ENSCAFG00000012682 ]*:53:66476167:45 ]-:45:50872603
ERROR: position ortholog index to check. ENSMUSG00000024901 ENSCAFG00000012682 [*:11:4941911:1 [-:1:50879826
ERROR: position ortholog index to check. ENSMUSG00000024901 ENSCAFG00000012682 [*:11:4941911:1 [-:1:50879826
ERROR: position ortholog index to check. ENSMUSG00000024901 ENSCAFG00000012682 ]*:43:4932298:45 ]-:45:50872603
ERROR: position ortholog index to check. ENSMUSG00000024901 ENSCAFG00000012682 ]*:43:4932298:45 ]-:45:50872603
ERROR: position ortholog index to check. ENSG00000153233 ENSCAFG00000023742 ]*:76:70639184:66 ]-:66:12386243
ERROR: position ortholog index to check. ENSMUSG00000020151 ENSCAFG00000023742 ]*:76:116273826:70 ]-:70:12386243
ERROR: position ortholog index to check. ENSCAFG00000016608 ENSG00000145147 ]*:161:88966272:164 ]-:164:20619009
ERROR: position ortholog index to check. ENSCAFG00000016608 ENSMUSG00000031558 ]*:161:88966272:164 ]-:164:48304241
ERROR: position ortholog index to check. ENSMUSG00000053198 ENSG00000105227 [*:14:27504980:17 [-:17:40407932
ERROR: position ortholog index to check. ENSMUSG00000053198 ENSG00000105227 ]*:34:27519834:37 ]-:37:40393966
ERROR: position ortholog index to check. ENSCAFG00000005350 ENSG00000105227 [*:1:113283923:17 [*:17:40407932
ERROR: position ortholog index to check. ENSCAFG00000005350 ENSG00000105227 ]*:22:113293839:37 ]*:37:40393966
ERROR: position ortholog index to check. ENSMUSG00000053198 ENSCAFG00000005350 [*:14:27504980:1 [-:1:113283923
ERROR: position ortholog index to check. ENSMUSG00000053198 ENSCAFG00000005350 [*:14:27504980:1 [-:1:113283923
ERROR: position ortholog index to check. ENSMUSG00000011832 ENSG00000142459 [*:9:4183534:9 [-:9:7846543
ERROR: position ortholog index to check. ENSCAFG00000018316 ENSG00000142459 [*:9:52554011:9 [-:9:7846543
ERROR: position ortholog index to check. ENSG00000103023 ENSMUSG00000048400 ]*:42:58280224:40 ]*:40:95559292
ERROR: position ortholog index to check. ENSG00000103023 ENSMUSG00000048400 ]*:42:58280224:40 ]*:40:95559292
ERROR: position ortholog index to check. ENSG00000103023 ENSCAFG00000030756 ]*:42:58280224:29 ]*:29:58332056
ERROR: position ortholog index to check. ENSCAFG00000030756 ENSMUSG00000048400 [*:4:58318999:7 [-:7:95575197
ERROR: position ortholog index to check. ENSCAFG00000030756 ENSMUSG00000048400 ]*:29:58332056:32 ]-:32:95559292
ERROR: position ortholog index to check. ENSMUSG00000021314 ENSG00000078053 [*:4:18948433:5 [-:5:38631351
ERROR: position ortholog index to check. ENSMUSG00000021314 ENSG00000078053 ]*:92:19149843:94 ]-:94:38384818
ERROR: position ortholog index to check. ENSCAFG00000003617 ENSG00000078053 ]*:90:11260714:96 ]-:96:38384818
ERROR: position ortholog index to check. ENSG00000129116 ENSMUSG00000058056 [*:8:168511505:11 [*:11:61877841
ERROR: position ortholog index to check. ENSG00000129116 ENSMUSG00000058056 [*:8:168511505:11 [*:11:61877841
ERROR: position ortholog index to check. ENSG00000129116 ENSMUSG00000058056 [*:22:168681391:26 [*:26:61712819
ERROR: position ortholog index to check. ENSG00000129116 ENSMUSG00000058056 [*:22:168681391:26 [-:26:61712819
ERROR: position ortholog index to check. ENSG00000129116 ENSMUSG00000058056 ]*:110:168926385:113 ]-:113:61513352
ERROR: position ortholog index to check. ENSG00000129116 ENSCAFG00000007492 [*:8:168511505:7 [*:7:19173710
ERROR: position ortholog index to check. ENSG00000129116 ENSCAFG00000007492 [*:8:168511505:7 [-:7:19173710
ERROR: position ortholog index to check. ENSG00000129116 ENSCAFG00000007492 [*:22:168681391:18 [-:18:19332333
ERROR: position ortholog index to check. ENSG00000129116 ENSCAFG00000007492 ]*:116:168926385:115 ]*:115:19553453
ERROR: position ortholog index to check. ENSG00000129116 ENSCAFG00000007492 ]*:116:168926385:115 ]-:115:19553453
ERROR: position ortholog index to check. ENSMUSG00000058056 ENSCAFG00000007492 [*:11:61877841:7 [-:7:19173710
ERROR: position ortholog index to check. ENSMUSG00000058056 ENSCAFG00000007492 ]*:117:61513352:113 ]-:113:19553453
ERROR: position ortholog index to check. ENSCAFG00000007492 ENSMUSG00000058056 [*:7:19173710:11 [-:11:61877841
ERROR: position ortholog index to check. ENSCAFG00000007492 ENSMUSG00000058056 [*:18:19332333:26 [-:26:61712819
ERROR: position ortholog index to check. ENSCAFG00000007492 ENSMUSG00000058056 ]*:113:19553453:117 ]-:117:61513352
ERROR: position ortholog index to check. ENSMUSG00000001773 ENSG00000086205 ]*:87:86719659:96 ]-:96:49146756
ERROR: position ortholog index to check. ENSCAFG00000024888 ENSG00000086205 ]*:75:10401844:94 ]-:94:49146756
ERROR: position ortholog index to check. ENSMUSG00000001773 ENSCAFG00000024888 ]*:85:86719659:75 ]-:75:10401844
ERROR: position ortholog index to check. ENSCAFG00000024888 ENSMUSG00000001773 ]*:75:10401844:85 ]-:85:86719659
ERROR: position ortholog index to check. ENSMUSG00000029470 ENSG00000135124 [*:5:122707654:5 [-:5:121210165
ERROR: position ortholog index to check. ENSMUSG00000029470 ENSG00000135124 ]*:51:122728313:55 ]-:55:121233549
ERROR: position ortholog index to check. ENSCAFG00000008363 ENSG00000135124 [*:1:7914234:5 [-:5:121210165
ERROR: position ortholog index to check. ENSCAFG00000008363 ENSG00000135124 ]*:51:7898050:55 ]-:55:121233549
ERROR: position ortholog index to check. ENSG00000171533 ENSCAFG00000005381 [*:4:75668369:1 [-:1:22953150
ERROR: position ortholog index to check. ENSG00000171533 ENSCAFG00000005381 [*:4:75668369:1 [-:1:22953150
ERROR: position ortholog index to check. ENSG00000171533 ENSCAFG00000005381 ]*:58:75587059:78 ]-:78:23020868
ERROR: position ortholog index to check. ENSMUSG00000055407 ENSCAFG00000005381 [*:4:99268022:1 [-:1:22953150
ERROR: position ortholog index to check. ENSMUSG00000055407 ENSCAFG00000005381 [*:4:99268022:1 [-:1:22953150
ERROR: position ortholog index to check. ENSMUSG00000055407 ENSCAFG00000005381 ]*:42:99337002:82 ]-:82:23020868
ERROR: position ortholog index to check. ENSCAFG00000001898 ENSMUSG00000028926 ]*:73:16921328:76 ]-:76:4888865
ERROR: position ortholog index to check. ENSMUSG00000031596 ENSG00000003989 ]*:58:40916534:68 ]-:68:17565146
ERROR: position ortholog index to check. ENSCAFG00000006944 ENSG00000003989 ]*:49:40874888:68 ]-:68:17565146
ERROR: position ortholog index to check. ENSCAFG00000006554 ENSMUSG00000019975 [*:1:38026388:5 [-:5:91083127
ERROR: position ortholog index to check. ENSMUSG00000063253 ENSG00000153130 ]*:34:83435898:41 ]-:41:140381104
ERROR: position ortholog index to check. ENSCAFG00000003699 ENSG00000153130 ]*:32:2453140:53 ]-:53:140381104
ERROR: position ortholog index to check. ENSMUSG00000030556 ENSCAFG00000010811 [*:8:67641271:3 [-:3:41492520
ERROR: position ortholog index to check. ENSG00000160691 ENSCAFG00000017156 [*:8:154970526:1 [-:1:42503179
ERROR: position ortholog index to check. ENSG00000160691 ENSCAFG00000017156 [*:8:154970526:1 [-:1:42503179
ERROR: position ortholog index to check. ENSMUSG00000042626 ENSCAFG00000017156 [*:8:89421851:1 [-:1:42503179
ERROR: position ortholog index to check. ENSMUSG00000042626 ENSCAFG00000017156 [*:8:89421851:1 [-:1:42503179
ERROR: position ortholog index to check. ENSG00000107897 ENSMUSG00000026781 [*:11:27240688:7 [-:7:23069270
ERROR: position ortholog index to check. ENSG00000107897 ENSMUSG00000026781 [*:19:27240394:18 [-:18:23069544
ERROR: position ortholog index to check. ENSG00000107897 ENSMUSG00000026781 ]*:71:27197430:71 ]-:71:23112517
ERROR: position ortholog index to check. ENSCAFG00000004377 ENSMUSG00000026781 [*:2:6921683:16 [-:16:23069544
ERROR: position ortholog index to check. ENSCAFG00000004377 ENSMUSG00000026781 ]*:55:6874993:69 ]-:69:23112517
ERROR: position ortholog index to check. ENSCAFG00000009361 ENSG00000144283 ]*:94:4574913:95 ]-:95:158680677
ERROR: position ortholog index to check. ENSCAFG00000009361 ENSMUSG00000026991 ]*:94:4574913:93 ]-:93:59354448
ERROR: position ortholog index to check. ENSMUSG00000069601 ENSG00000151150 [*:16:69706812:19 [*:19:60389538
ERROR: position ortholog index to check. ENSCAFG00000012694 ENSG00000151150 ]*:195:12179683:211 ]-:211:60042691
ERROR: position ortholog index to check. ENSCAFG00000015133 ENSG00000198742 ]*:90:10494922:94 ]-:94:99030584
ERROR: position ortholog index to check. ENSCAFG00000015133 ENSMUSG00000038780 ]*:90:10494922:88 ]-:88:144879357
ERROR: position ortholog index to check. ENSG00000124357 ENSMUSG00000034744 ]*:52:71078508:49 ]-:49:83802455
ERROR: position ortholog index to check. ENSMUSG00000030303 ENSCAFG00000010901 ]*:54:148175208:48 ]-:48:18661553
ERROR: position ortholog index to check. ENSMUSG00000030303 ENSCAFG00000010901 ]*:54:148175208:48 ]-:48:18661553
ERROR: position ortholog index to check. ENSG00000169599 ENSMUSG00000029993 ]*:46:69396246:45 ]-:45:87028342
ERROR: position ortholog index to check. ENSMUSG00000029993 ENSCAFG00000003305 ]*:45:87028342:50 ]-:50:68135010
ERROR: position ortholog index to check. ENSCAFG00000003305 ENSMUSG00000029993 ]*:50:68135010:45 ]-:45:87028342
ERROR: position ortholog index to check. ENSG00000147862 ENSCAFG00000001520 [*:11:14313511:1 [-:1:34806421
ERROR: position ortholog index to check. ENSG00000147862 ENSCAFG00000001520 [*:11:14313511:1 [-:1:34806421
ERROR: position ortholog index to check. ENSCAFG00000001520 ENSG00000147862 ]*:60:34579698:69 ]-:69:14088197
ERROR: position ortholog index to check. ENSMUSG00000008575 ENSCAFG00000001520 [*:3:82504760:1 [-:1:34806421
ERROR: position ortholog index to check. ENSMUSG00000008575 ENSCAFG00000001520 [*:3:82504760:1 [-:1:34806421
ERROR: position ortholog index to check. ENSCAFG00000001520 ENSMUSG00000008575 ]*:58:34579698:59 ]-:59:82296682
ERROR: position ortholog index to check. ENSG00000136709 ENSMUSG00000024400 [*:8:127770981:7 [-:7:31827285
ERROR: position ortholog index to check. ENSG00000136709 ENSMUSG00000024400 ]*:102:127706323:99 ]*:99:31906995
ERROR: position ortholog index to check. ENSMUSG00000024400 ENSCAFG00000004326 [*:7:31827285:3 [*:3:22835873
ERROR: position ortholog index to check. ENSCAFG00000004326 ENSMUSG00000024400 [*:3:22835873:7 [-:7:31827285
ERROR: position ortholog index to check. ENSCAFG00000004326 ENSMUSG00000024400 ]*:90:22904211:99 ]*:99:31906995
ERROR: position ortholog index to check. ENSG00000163281 ENSMUSG00000029209 [*:12:44722207:15 [-:15:69589784
ERROR: position ortholog index to check. ENSG00000163281 ENSMUSG00000029209 ]*:38:44703081:42 ]-:42:69575892
ERROR: position ortholog index to check. ENSCAFG00000001871 ENSMUSG00000029209 [*:5:41228532:15 [-:15:69589784
ERROR: position ortholog index to check. ENSCAFG00000001871 ENSMUSG00000029209 ]*:32:41208446:42 ]-:42:69575892
ERROR: position ortholog index to check. ENSG00000151233 ENSMUSG00000036197 [*:4:42144646:5 [-:5:93275081
ERROR: position ortholog index to check. ENSCAFG00000009790 ENSG00000151233 ]*:42:11804288:45 ]-:45:42087786
ERROR: position ortholog index to check. ENSCAFG00000009790 ENSMUSG00000036197 ]*:42:11804288:50 ]-:50:93244968
ERROR: position ortholog index to check. ENSCAFG00000012149 ENSG00000143437 ]*:109:59941623:119 ]-:119:150812021
ERROR: position ortholog index to check. ENSCAFG00000012149 ENSMUSG00000015522 ]*:109:59941623:104 ]-:104:95495393
ERROR: position ortholog index to check. ENSG00000114757 ENSMUSG00000027674 ]*:104:179801828:100 ]-:100:32950669
ERROR: position ortholog index to check. ENSCAFG00000011494 ENSMUSG00000027674 ]*:96:13188553:100 ]-:100:32950669
ERROR: position ortholog index to check. ENSG00000163328 ENSCAFG00000013254 [*:20:174481956:3 [-:3:18520161
ERROR: position ortholog index to check. ENSMUSG00000041762 ENSCAFG00000013254 [*:14:73382277:3 [-:3:18520161
ERROR: position ortholog index to check. ENSMUSG00000028456 ENSG00000198722 [*:4:43059264:5 [-:5:35162284
ERROR: position ortholog index to check. ENSMUSG00000028456 ENSG00000198722 ]*:170:43263585:171 ]-:171:35404033
ERROR: position ortholog index to check. ENSCAFG00000002030 ENSG00000198722 [*:3:51708302:5 [-:5:35162284
ERROR: position ortholog index to check. ENSCAFG00000002030 ENSG00000198722 ]*:169:51939623:171 ]-:171:35404033
ERROR: position ortholog index to check. ENSMUSG00000028456 ENSCAFG00000002030 [*:4:43059264:3 [-:3:51708302
ERROR: position ortholog index to check. ENSMUSG00000028456 ENSCAFG00000002030 ]*:170:43263585:169 ]-:169:51939623
ERROR: position ortholog index to check. ENSMUSG00000028456 ENSCAFG00000002030 ]*:170:43263585:169 ]-:169:51939623
ERROR: position ortholog index to check. ENSMUSG00000030323 ENSG00000163913 [*:5:115853669:13 [-:13:129440331
ERROR: position ortholog index to check. ENSMUSG00000030323 ENSG00000163913 ]*:132:115926325:149 ]-:149:129520265
ERROR: position ortholog index to check. ENSCAFG00000004785 ENSG00000163913 [*:1:5715906:13 [-:13:129440331
ERROR: position ortholog index to check. ENSCAFG00000004785 ENSG00000163913 ]*:136:5644368:149 ]-:149:129520265
ERROR: position ortholog index to check. ENSMUSG00000030323 ENSCAFG00000004785 [*:5:115853669:1 [-:1:5715906
ERROR: position ortholog index to check. ENSMUSG00000030323 ENSCAFG00000004785 [*:5:115853669:1 [-:1:5715906
ERROR: position ortholog index to check. ENSMUSG00000030323 ENSCAFG00000004785 ]*:130:115926325:130 ]-:130:5644368
ERROR: position ortholog index to check. ENSCAFG00000004785 ENSMUSG00000030323 [*:1:5715906:5 [-:5:115853669
ERROR: position ortholog index to check. ENSCAFG00000004785 ENSMUSG00000030323 ]*:130:5644368:130 ]-:130:115926325
ERROR: position ortholog index to check. ENSMUSG00000023990 ENSCAFG00000001599 [*:17:47785987:9 [-:9:10374814
ERROR: position ortholog index to check. ENSMUSG00000031996 ENSG00000084234 ]*:75:31150871:85 ]-:85:130143448
ERROR: position ortholog index to check. ENSCAFG00000010132 ENSG00000084234 ]*:76:4705544:87 ]-:87:130143448
ERROR: position ortholog index to check. ENSCAFG00000010132 ENSMUSG00000031996 ]*:76:4705544:77 ]-:77:31150871
ERROR: position ortholog index to check. ENSMUSG00000020542 ENSG00000141052 [*:4:65269698:3 [-:3:12666189
ERROR: position ortholog index to check. ENSMUSG00000020542 ENSG00000141052 ]*:60:65178445:59 ]-:59:12763644
ERROR: position ortholog index to check. ENSG00000141052 ENSCAFG00000017863 ]*:61:12763644:66 ]-:66:36769327
ERROR: position ortholog index to check. ENSG00000141052 ENSCAFG00000017863 ]*:61:12763644:66 ]-:66:36769327
ERROR: position ortholog index to check. ENSMUSG00000020542 ENSCAFG00000017863 [*:4:65269698:3 [-:3:36674785
ERROR: position ortholog index to check. ENSMUSG00000020542 ENSCAFG00000017863 ]*:62:65178445:66 ]-:66:36769327
ERROR: position ortholog index to check. ENSMUSG00000020542 ENSCAFG00000017863 ]*:62:65178445:66 ]-:66:36769327
ERROR: position ortholog index to check. ENSG00000215187 ENSMUSG00000042788 [*:2:35563828:5 [*:5:43429089
ERROR: position ortholog index to check. ENSG00000215187 ENSMUSG00000042788 [*:2:35563828:5 [-:5:43429089
ERROR: position ortholog index to check. ENSG00000215187 ENSMUSG00000042788 ]*:30:35562007:33 ]*:33:43427183
ERROR: position ortholog index to check. ENSMUSG00000005505 ENSG00000123444 [*:4:90904794:7 [*:7:47578951
ERROR: position ortholog index to check. ENSG00000123444 ENSCAFG00000008415 [*:21:47577999:14 [-:14:42076890
ERROR: position ortholog index to check. ENSMUSG00000005505 ENSCAFG00000008415 [*:4:90904794:1 [*:1:42075895
ERROR: position ortholog index to check. ENSMUSG00000005505 ENSCAFG00000008415 [*:4:90904794:1 [*:1:42075895
ERROR: position ortholog index to check. ENSMUSG00000047412 ENSG00000196323 [*:7:31053296:13 [-:13:130261873
ERROR: position ortholog index to check. ENSCAFG00000009981 ENSG00000196323 [*:3:4612296:13 [-:13:130261873
ERROR: position ortholog index to check. ENSMUSG00000018572 ENSG00000040633 ]*:38:69999452:35 ]-:35:7235626
ERROR: position ortholog index to check. ENSCAFG00000016096 ENSG00000040633 ]*:24:32203225:33 ]-:33:7235626
ERROR: position ortholog index to check. ENSMUSG00000067616 ENSCAFG00000002886 ]*:30:43778937:29 ]*:29:105858482
ERROR: position ortholog index to check. ENSMUSG00000067616 ENSCAFG00000002886 ]*:30:43778937:29 ]*:29:105858482
ERROR: position ortholog index to check. ENSG00000145416 ENSMUSG00000036469 ]*:51:163528748:56 ]-:56:66468530
ERROR: position ortholog index to check. ENSG00000145416 ENSCAFG00000008804 [*:17:163854131:5 [-:5:60036060
ERROR: position ortholog index to check. ENSCAFG00000008804 ENSG00000145416 ]*:32:59757419:45 ]-:45:163528748
ERROR: position ortholog index to check. ENSMUSG00000036469 ENSCAFG00000008804 [*:25:66121789:5 [-:5:60036060
ERROR: position ortholog index to check. ENSCAFG00000008804 ENSMUSG00000036469 ]*:34:59757419:58 ]-:58:66468530
ERROR: position ortholog index to check. ENSG00000103091 ENSMUSG00000031959 [*:5:74985017:7 [-:7:111521981
ERROR: position ortholog index to check. ENSCAFG00000020099 ENSMUSG00000031959 [*:3:75706944:7 [-:7:111521981
ERROR: position ortholog index to check. ENSCAFG00000017954 ENSG00000145901 [*:7:58171772:19 [-:19:151065095
ERROR: position ortholog index to check. ENSMUSG00000020400 ENSCAFG00000017954 [*:24:54940846:9 [*:9:58171772
ERROR: position ortholog index to check. ENSMUSG00000020400 ENSCAFG00000017954 [*:24:54940846:9 [-:9:58171772
ERROR: position ortholog index to check. ENSMUSG00000020400 ENSCAFG00000017954 ]*:96:54911537:83 ]*:83:58199405
ERROR: position ortholog index to check. ENSMUSG00000034818 ENSG00000161082 ]*:67:81462326:65 ]-:65:3293334
ERROR: position ortholog index to check. ENSMUSG00000034818 ENSCAFG00000019263 ]*:67:81462326:62 ]-:62:56030589
ERROR: position ortholog index to check. ENSMUSG00000031283 ENSG00000101938 ]*:72:143287866:64 ]-:64:110676231
ERROR: position ortholog index to check. ENSMUSG00000031283 ENSCAFG00000018117 ]*:72:143287866:61 ]-:61:83818413
ERROR: position ortholog index to check. ENSG00000105939 ENSCAFG00000004102 [*:4:139109331:1 [-:1:9598405
ERROR: position ortholog index to check. ENSG00000105939 ENSCAFG00000004102 [*:4:139109331:1 [-:1:9598405
ERROR: position ortholog index to check. ENSG00000105939 ENSCAFG00000004102 ]*:64:139047594:64 ]-:64:9658535
ERROR: position ortholog index to check. ENSG00000105939 ENSCAFG00000004102 ]*:64:139047594:64 ]-:64:9658535
