"clf"	"hs"	"mm"
"217"	0	4	5
"218"	9	2	5
"219"	0	3	7
"220"	6	3	5
"221"	0	1	1
"222"	6	3	9
"223"	0	2	7
"224"	4	3	3
"225"	0	0	3
"226"	3	2	2
"227"	0	4	1
"228"	6	2	2
"229"	0	5	2
"230"	4	2	3
"231"	0	4	6
"232"	3	3	6
"233"	0	0	8
"234"	4	1	3
"235"	0	3	1
"236"	8	3	5
"237"	0	6	4
"238"	6	3	4
"239"	0	3	2
"240"	1	3	7
"241"	0	5	3
"242"	5	2	8
"243"	0	3	3
"244"	7	3	4
"245"	0	4	2
"246"	5	2	1
"247"	0	3	7
"248"	9	5	2
"249"	0	5	3
"250"	2	3	3
"251"	0	5	6
"252"	2	4	4
"253"	0	4	5
"254"	11	2	3
"255"	0	3	4
"256"	3	3	5
"257"	0	3	2
"258"	4	4	4
"259"	0	1	6
"260"	3	4	6
"261"	0	3	7
"262"	4	6	3
"263"	0	4	7
"264"	5	4	3
"265"	0	7	8
"266"	5	1	4
"267"	0	3	3
"268"	2	2	4
"269"	0	4	3
"270"	5	3	4
"271"	0	3	2
"272"	5	3	4
"273"	0	3	5
"274"	7	2	1
"275"	0	4	2
"276"	3	8	4
"277"	0	0	3
"278"	3	5	4
"279"	0	0	6
"280"	3	2	8
"281"	0	2	2
"282"	4	4	4
"283"	0	3	5
"284"	5	7	3
"285"	0	0	2
"286"	7	3	1
"287"	0	3	6
"288"	7	1	0
"289"	0	3	4
"290"	3	4	1
"291"	0	1	3
"292"	5	1	6
"293"	0	2	6
"294"	2	3	4
"295"	0	5	5
"296"	10	5	6
"297"	0	3	1
"298"	4	2	1
"299"	0	5	5
"300"	6	4	2
"301"	0	4	1
"302"	7	3	3
"303"	0	7	1
"304"	6	3	4
"305"	0	2	4
"306"	5	5	2
"307"	0	1	2
"308"	1	1	1
"309"	0	4	5
"310"	10	1	1
"311"	0	3	4
"312"	8	2	5
"313"	0	4	6
"314"	4	3	8
"315"	0	2	2
"316"	6	3	5
"317"	0	6	4
"318"	7	5	2
"319"	0	3	5
"320"	3	2	5
"321"	0	0	2
"322"	2	0	6
"323"	0	3	2
"324"	6	4	3
"325"	0	3	6
"326"	5	6	4
"327"	0	4	3
"328"	3	1	2
"329"	0	3	2
"330"	1	4	1
"331"	0	4	3
"332"	5	4	3
"333"	0	3	0
"334"	3	5	7
"335"	0	5	1
"336"	5	3	2
"337"	0	4	4
"338"	4	2	2
"339"	0	2	4
"340"	7	3	2
"341"	0	2	8
"342"	7	5	1
"343"	0	5	5
"344"	4	2	5
"345"	0	2	1
"346"	4	5	4
"347"	0	4	1
"348"	2	2	5
"349"	0	2	3
"350"	4	5	5
"351"	0	1	4
"352"	3	5	3
"353"	0	2	5
"354"	5	3	3
"355"	0	1	6
"356"	4	4	6
"357"	0	0	5
"358"	5	3	2
"359"	0	3	6
"360"	2	3	2
"361"	0	3	7
"362"	7	0	4
"363"	0	2	7
"364"	2	1	3
"365"	0	6	3
"366"	4	7	2
"367"	0	3	1
"368"	8	1	7
"369"	0	3	3
"370"	2	2	4
"371"	0	1	0
"372"	3	4	2
"373"	0	2	4
"374"	4	4	2
"375"	0	9	7
"376"	5	1	2
"377"	0	8	4
"378"	6	3	6
"379"	0	3	0
"380"	2	2	2
"381"	0	1	3
"382"	4	4	1
"383"	0	4	2
"384"	3	0	3
"385"	0	2	6
"386"	5	2	5
"387"	0	3	2
"388"	3	1	1
"389"	0	4	4
"390"	3	3	1
"391"	0	2	1
"392"	5	1	2
"393"	0	3	7
"394"	4	3	3
"395"	0	6	1
"396"	6	3	2
"397"	0	0	3
"398"	10	3	4
"399"	0	4	3
"400"	3	3	4
"401"	0	4	3
"402"	2	0	6
"403"	0	3	1
"404"	2	2	2
"405"	0	4	3
"406"	7	5	4
"407"	0	4	0
"408"	3	2	3
"409"	0	7	5
"410"	3	6	3
"411"	0	4	6
"412"	5	3	2
"413"	0	1	0
"414"	4	2	4
"415"	0	2	2
"416"	4	7	1
"417"	0	4	2
"418"	10	4	5
"419"	0	5	2
"420"	0	1	0
"421"	0	1	4
"422"	2	0	1
"423"	0	4	0
"424"	8	5	4
"425"	0	1	2
"426"	2	3	3
"427"	0	3	1
"428"	5	1	5
"429"	0	6	0
"430"	1	2	8
"431"	0	2	1
"432"	6	3	2
"433"	0	8	2
"434"	5	2	2
"435"	0	0	1
"436"	5	5	2
"437"	0	2	3
"438"	7	4	4
"439"	0	4	3
"440"	5	4	2
"441"	0	6	4
"442"	1	6	3
"443"	0	3	4
"444"	9	2	3
"445"	0	2	4
"446"	7	2	1
"447"	0	3	2
"448"	3	0	0
"449"	0	4	2
"450"	3	5	1
"451"	0	0	1
"452"	2	3	2
"453"	0	4	3
"454"	1	2	0
"455"	0	1	5
"456"	2	3	3
"457"	0	3	0
"458"	2	0	4
"459"	0	5	2
"460"	3	1	5
"461"	0	1	1
"462"	6	3	3
"463"	0	2	2
"464"	6	3	3
"465"	0	3	1
"466"	8	0	5
"467"	0	1	2
"468"	3	2	1
"469"	0	1	5
"470"	1	1	3
"471"	0	1	1
"472"	5	3	1
"473"	0	5	2
"474"	4	3	3
"475"	0	2	0
"476"	4	0	2
"477"	0	1	2
"478"	2	3	1
"479"	0	2	3
"480"	7	1	1
"481"	0	4	2
"482"	3	1	3
"483"	0	3	2
"484"	8	2	3
"485"	0	3	2
"486"	3	1	5
"487"	0	2	3
"488"	4	4	0
"489"	0	3	6
"490"	2	4	2
"491"	0	4	3
"492"	1	4	5
"493"	0	1	4
"494"	7	2	5
"495"	0	2	3
"496"	2	2	2
"497"	0	1	1
"498"	3	0	3
"499"	0	1	3
"500"	3	1	2
"501"	0	1	3
"502"	6	0	1
"503"	0	6	3
"504"	4	4	5
"505"	0	1	5
"506"	5	1	4
"507"	0	6	5
"508"	3	3	3
"509"	0	1	3
"510"	4	0	2
"511"	0	2	2
"512"	5	0	2
"513"	0	1	2
"514"	2	3	4
"515"	0	3	4
"516"	4	1	3
"517"	0	2	2
"518"	6	5	3
"519"	0	0	1
"520"	6	2	0
"521"	0	1	1
"522"	7	2	3
"523"	0	2	3
"524"	3	4	4
"525"	0	1	2
"526"	7	4	1
"527"	0	4	1
"528"	3	2	2
"529"	0	3	2
"530"	8	0	1
"531"	0	1	4
"532"	4	4	4
"533"	0	2	2
"534"	3	1	3
"535"	0	3	2
"536"	4	3	2
"537"	0	2	1
"538"	3	4	1
"539"	0	2	1
"540"	4	4	3
"541"	0	3	2
"542"	2	2	4
"543"	0	3	1
"544"	4	1	3
"545"	0	2	1
"546"	5	2	2
"547"	0	1	3
"548"	1	2	2
"549"	0	1	3
"550"	2	2	3
"551"	0	3	3
"552"	4	2	5
"553"	0	1	4
"554"	3	3	1
"555"	0	3	0
"556"	4	2	1
"557"	0	1	3
"558"	6	1	0
"559"	0	2	3
"560"	8	2	3
"561"	0	0	2
"562"	2	0	1
"563"	0	1	2
"564"	4	2	3
"565"	0	2	1
"566"	5	4	1
"567"	0	3	1
"568"	3	1	1
"569"	0	1	1
"570"	2	2	4
"571"	0	3	3
"572"	1	1	4
"573"	0	3	4
"574"	6	4	5
"575"	0	0	3
"576"	0	0	2
"577"	0	1	5
"578"	4	2	3
"579"	0	1	1
"580"	1	1	2
"581"	0	1	2
"582"	3	1	1
"583"	0	1	1
"584"	6	2	1
"585"	0	2	1
"586"	6	1	0
"587"	0	1	1
"588"	4	1	0
"589"	0	1	1
"590"	5	3	1
"591"	0	3	2
"592"	6	1	3
"593"	0	3	1
"594"	1	1	0
"595"	0	1	4
"596"	1	3	4
"597"	0	1	0
"598"	5	0	0
"599"	0	1	3
"600"	2	3	0
"601"	0	0	2
"602"	1	6	1
"603"	0	0	2
"604"	3	0	2
"605"	0	2	1
"606"	1	4	3
"607"	0	4	1
"608"	4	1	3
"609"	0	3	1
"610"	4	0	1
"612"	2	2	0
"613"	0	2	0
"614"	2	0	3
"615"	0	5	1
"616"	1	4	1
"617"	0	2	2
"618"	5	1	4
"619"	0	2	1
"620"	1	5	1
"621"	0	2	1
"622"	4	2	1
"623"	0	1	2
"624"	5	3	1
"625"	0	3	2
"626"	6	2	2
"627"	0	4	6
"628"	8	0	0
"629"	0	2	3
"630"	2	0	3
"631"	0	1	1
"632"	5	2	0
"633"	0	1	2
"634"	4	1	1
"635"	0	4	3
"636"	2	1	3
"637"	0	3	2
"638"	5	4	6
"639"	0	1	1
"640"	5	2	3
"641"	0	2	1
"642"	2	7	0
"643"	0	2	1
"644"	6	3	0
"645"	0	1	1
"646"	2	1	0
"647"	0	1	1
"648"	3	2	1
"649"	0	1	1
"650"	6	0	0
"651"	0	0	2
"652"	4	2	0
"653"	0	2	4
"654"	3	2	0
"655"	0	3	3
"656"	2	2	3
"657"	0	1	3
"658"	2	1	2
"659"	0	1	0
"660"	1	1	1
"661"	0	2	0
"662"	3	1	2
"663"	0	3	3
"664"	3	2	3
"665"	0	2	1
"666"	0	1	1
"667"	0	2	1
"668"	7	2	1
"669"	0	3	0
"670"	1	1	3
"671"	0	4	1
"672"	2	2	1
"673"	0	1	0
"674"	4	2	3
"675"	0	1	3
"676"	2	2	3
"677"	0	0	4
"678"	4	1	4
"679"	0	0	5
"680"	2	2	1
"682"	8	1	2
"683"	0	1	1
"684"	1	1	3
"685"	0	1	1
"686"	5	1	3
"687"	0	4	0
"688"	5	3	2
"689"	0	0	3
"690"	1	7	8
"691"	0	0	1
"692"	4	1	1
"693"	0	2	1
"694"	1	5	5
"695"	0	1	0
"696"	5	3	1
"698"	3	1	0
"699"	0	2	2
"700"	5	0	2
"701"	0	0	1
"702"	4	2	0
"703"	0	1	1
"704"	3	2	1
"705"	0	1	1
"706"	5	3	2
"707"	0	1	0
"708"	3	1	1
"709"	0	1	1
"710"	6	0	1
"711"	0	1	3
"712"	6	1	3
"713"	0	2	2
"714"	5	1	1
"715"	0	2	0
"716"	2	3	4
"718"	6	1	2
"719"	0	1	0
"720"	2	0	1
"721"	0	3	1
"722"	7	6	1
"723"	0	1	2
"724"	4	2	0
"725"	0	2	1
"726"	7	2	1
"727"	0	1	3
"728"	3	1	1
"729"	0	1	2
"730"	3	2	3
"731"	0	4	3
"732"	2	1	3
"733"	0	2	3
"734"	1	2	1
"735"	0	2	1
"736"	7	2	0
"737"	0	2	2
"738"	3	3	2
"739"	0	2	3
"740"	4	2	2
"741"	0	1	4
"742"	0	3	2
"743"	0	2	0
"744"	2	3	1
"745"	0	0	2
"746"	4	0	1
"747"	0	3	0
"748"	2	1	1
"749"	0	5	1
"750"	7	2	0
"751"	0	1	3
"752"	2	1	5
"753"	0	3	2
"754"	4	4	1
"755"	0	2	1
"756"	6	3	2
"757"	0	1	3
"758"	0	2	0
"759"	0	0	1
"760"	2	1	1
"761"	0	2	0
"762"	3	3	2
"763"	0	4	1
"764"	1	0	1
"765"	0	1	2
"766"	2	4	2
"767"	0	1	0
"768"	3	2	0
"769"	0	1	1
"770"	6	1	2
"771"	0	0	1
"772"	5	1	0
"773"	0	1	1
"774"	2	1	4
"775"	0	1	2
"776"	1	1	0
"777"	0	3	0
"778"	4	0	2
"779"	0	0	1
"780"	1	2	3
"781"	0	1	2
"782"	1	2	2
"783"	0	0	2
"784"	2	1	3
"785"	0	1	1
"786"	7	2	3
"787"	0	1	2
"788"	3	2	2
"789"	0	2	1
"790"	1	1	7
"791"	0	2	0
"792"	2	0	3
"794"	3	0	2
"795"	0	2	0
"796"	4	2	1
"797"	0	1	1
"798"	3	1	0
"799"	0	2	2
"800"	4	0	2
"801"	0	1	1
"802"	3	1	0
"803"	0	0	1
"804"	6	2	3
"805"	0	2	2
"806"	1	1	0
"807"	0	1	1
"808"	2	0	2
"809"	0	5	3
"810"	3	2	0
"811"	0	2	3
"812"	4	4	1
"813"	0	0	2
"814"	0	1	0
"815"	0	3	2
"816"	3	2	0
"817"	0	0	1
"818"	5	0	0
"819"	0	1	1
"820"	3	0	0
"821"	0	3	1
"822"	6	3	1
"823"	0	2	1
"824"	2	0	0
"825"	0	2	1
"826"	0	0	2
"827"	0	0	2
"828"	4	1	1
"829"	0	3	1
"830"	2	2	0
"831"	0	1	3
"832"	1	2	1
"833"	0	2	3
"834"	2	1	2
"835"	0	3	0
"836"	5	2	1
"837"	0	0	1
"838"	2	0	1
"839"	0	0	2
"840"	0	0	2
"841"	0	2	1
"842"	4	3	2
"843"	0	3	1
"844"	1	0	1
"845"	0	0	3
"846"	0	1	2
"847"	0	1	1
"848"	4	4	2
"850"	2	1	1
"851"	0	3	0
"852"	3	1	1
"853"	0	1	0
"854"	1	1	1
"856"	5	1	1
"857"	0	1	0
"858"	0	1	1
"859"	0	3	2
"860"	8	1	3
"861"	0	1	1
"862"	1	3	1
"863"	0	0	1
"864"	2	1	1
"865"	0	3	3
"866"	2	2	0
"867"	0	2	3
"868"	2	2	1
"869"	0	2	0
"870"	1	3	0
"872"	2	1	2
"873"	0	1	0
"874"	3	0	1
"875"	0	2	2
"876"	4	1	1
"877"	0	3	0
"878"	3	1	0
"879"	0	1	1
"880"	2	3	2
"881"	0	2	0
"882"	4	2	0
"883"	0	1	1
"884"	3	1	1
"885"	0	1	1
"886"	4	0	2
"887"	0	0	1
"888"	3	1	2
"889"	0	1	0
"890"	4	0	1
"891"	0	1	0
"892"	1	2	3
"893"	0	2	0
"894"	2	0	2
"896"	0	2	1
"897"	0	0	2
"898"	2	1	2
"899"	0	0	2
"900"	1	3	0
"901"	0	3	0
"902"	1	3	0
"903"	0	1	1
"904"	2	0	2
"905"	0	1	2
"906"	3	1	2
"908"	0	1	1
"909"	0	1	1
"910"	5	2	1
"911"	0	3	1
"912"	3	0	0
"913"	0	2	0
"914"	0	3	2
"915"	0	0	2
"916"	4	0	2
"918"	2	0	0
"919"	0	1	0
"920"	5	3	0
"921"	0	3	0
"922"	1	1	2
"924"	3	3	2
"925"	0	0	1
"926"	2	1	0
"927"	0	2	0
"928"	3	2	1
"929"	0	3	0
"930"	1	5	0
"931"	0	1	0
"932"	5	1	0
"933"	0	2	0
"934"	2	4	0
"935"	0	1	2
"936"	1	0	2
"937"	0	0	2
"938"	5	0	2
"939"	0	1	1
"940"	3	0	2
"941"	0	2	2
"942"	1	3	1
"943"	0	1	1
"944"	1	0	0
"945"	0	1	0
"946"	2	1	0
"948"	3	0	0
"949"	0	2	0
"950"	0	2	2
"951"	0	0	1
"952"	2	2	0
"954"	2	2	2
"955"	0	0	1
"956"	1	2	0
"957"	0	1	2
"958"	3	1	0
"959"	0	1	0
"960"	1	0	1
"961"	0	3	1
"962"	2	1	0
"963"	0	2	1
"964"	3	0	2
"965"	0	1	0
"966"	2	1	0
"967"	0	0	1
"968"	3	0	0
"969"	0	2	0
"970"	2	2	0
"971"	0	1	0
"972"	5	2	4
"973"	0	0	1
"974"	3	2	0
"975"	0	0	1
"976"	0	2	2
"977"	0	2	1
"978"	6	0	0
"980"	2	1	3
"981"	0	1	0
"982"	3	0	1
"983"	0	1	1
"984"	5	1	2
"985"	0	1	1
"986"	4	4	3
"987"	0	0	1
"988"	5	1	0
"989"	0	1	1
"990"	3	2	0
"992"	2	2	0
"994"	1	2	0
"995"	0	2	0
"996"	3	3	0
"997"	0	0	2
"998"	3	4	1
"1000"	2	1	0
"1001"	0	0	1
"1002"	3	0	1
"1003"	0	0	1
"1004"	1	1	2
"1005"	0	1	1
"1006"	3	2	0
"1007"	0	1	1
"1008"	5	2	0
"1009"	0	2	0
"1010"	5	1	1
"1012"	4	2	2
"1013"	0	0	1
"1014"	5	3	0
"1015"	0	0	1
"1016"	3	1	1
"1017"	0	1	0
"1018"	3	1	0
"1019"	0	1	0
"1020"	2	0	2
"1021"	0	3	1
"1022"	2	1	0
"1023"	0	0	1
"1024"	2	1	1
"1025"	0	4	3
"1026"	2	0	0
"1027"	0	1	1
"1028"	4	3	0
"1029"	0	2	1
"1030"	4	1	0
"1031"	0	1	0
"1032"	3	0	1
"1033"	0	0	2
"1034"	2	3	0
"1035"	0	1	1
"1036"	3	3	0
"1037"	0	2	0
"1038"	1	1	2
"1039"	0	1	1
"1040"	0	1	3
"1041"	0	1	3
"1042"	1	2	0
"1044"	3	0	0
"1046"	3	1	0
"1047"	0	4	0
"1048"	4	0	1
"1050"	2	2	1
"1051"	0	0	2
"1052"	1	1	1
"1053"	0	0	1
"1054"	1	2	0
"1055"	0	1	0
"1056"	2	0	0
"1057"	0	1	1
"1058"	2	3	0
"1059"	0	4	0
"1060"	1	0	4
"1061"	0	3	1
"1062"	4	1	1
"1063"	0	1	1
"1064"	4	1	0
"1065"	0	0	1
"1066"	2	2	2
"1067"	0	0	2
"1068"	3	0	0
"1070"	2	3	0
"1071"	0	0	1
"1072"	2	1	1
"1073"	0	2	1
"1074"	1	1	3
"1076"	1	2	1
"1077"	0	2	1
"1078"	1	1	1
"1079"	0	1	0
"1080"	3	0	0
"1081"	0	0	2
"1082"	2	1	2
"1083"	0	1	0
"1084"	4	0	1
"1085"	0	3	0
"1086"	1	3	1
"1087"	0	1	1
"1088"	3	0	0
"1089"	0	0	2
"1090"	1	0	0
"1092"	2	0	2
"1093"	0	2	0
"1094"	3	4	0
"1096"	2	1	1
"1097"	0	1	1
"1098"	3	0	0
"1100"	3	1	1
"1101"	0	0	1
"1102"	3	1	1
"1103"	0	2	0
"1104"	5	0	2
"1106"	4	0	1
"1107"	0	1	1
"1108"	1	0	1
"1109"	0	1	0
"1111"	0	4	1
"1112"	1	0	2
"1114"	3	0	2
"1115"	0	0	1
"1116"	0	1	1
"1117"	0	1	3
"1118"	3	1	1
"1119"	0	1	1
"1120"	3	0	1
"1121"	0	2	0
"1122"	2	1	1
"1123"	0	2	0
"1124"	1	1	0
"1125"	0	2	1
"1126"	2	1	0
"1127"	0	3	0
"1128"	3	1	0
"1129"	0	0	1
"1130"	1	1	0
"1131"	0	1	2
"1132"	1	1	2
"1134"	1	1	0
"1136"	1	2	3
"1137"	0	1	0
"1138"	1	1	2
"1139"	0	0	2
"1140"	4	1	0
"1141"	0	0	1
"1142"	3	1	2
"1144"	4	1	1
"1145"	0	1	0
"1146"	4	0	1
"1147"	0	2	0
"1148"	5	0	0
"1149"	0	1	1
"1150"	3	2	0
"1151"	0	0	2
"1152"	2	1	1
"1153"	0	0	1
"1154"	5	0	1
"1155"	0	2	0
"1156"	3	1	1
"1157"	0	0	1
"1158"	1	0	1
"1159"	0	0	1
"1160"	2	3	0
"1161"	0	0	1
"1162"	2	0	1
"1163"	0	3	0
"1164"	1	1	0
"1165"	0	3	0
"1166"	1	1	0
"1167"	0	2	1
"1168"	1	1	1
"1169"	0	1	1
"1170"	1	0	1
"1171"	0	2	0
"1172"	0	2	0
"1173"	0	1	2
"1174"	1	0	1
"1175"	0	1	0
"1176"	0	1	1
"1177"	0	0	1
"1178"	1	1	0
"1180"	1	2	0
"1181"	0	1	1
"1182"	2	1	1
"1183"	0	5	0
"1184"	3	0	1
"1185"	0	0	1
"1186"	1	1	2
"1188"	0	3	2
"1190"	4	1	0
"1191"	0	0	1
"1192"	4	1	0
"1193"	0	2	1
"1194"	0	1	1
"1195"	0	1	3
"1196"	0	1	0
"1198"	3	0	0
"1199"	0	0	1
"1200"	0	2	0
"1202"	2	0	0
"1204"	1	1	1
"1205"	0	1	0
"1206"	2	1	0
"1208"	2	1	0
"1209"	0	1	1
"1210"	1	0	0
"1211"	0	0	2
"1212"	3	0	1
"1213"	0	1	1
"1214"	1	0	1
"1215"	0	1	2
"1216"	3	0	0
"1217"	0	3	0
"1218"	1	2	1
"1219"	0	0	1
"1220"	1	1	1
"1221"	0	2	0
"1222"	0	0	3
"1224"	0	1	0
"1226"	0	0	2
"1227"	0	0	1
"1228"	3	3	0
"1229"	0	3	0
"1230"	1	1	0
"1232"	1	0	0
"1233"	0	0	1
"1234"	2	0	1
"1236"	4	1	0
"1238"	1	2	3
"1240"	1	0	0
"1241"	0	0	1
"1242"	1	0	0
"1243"	0	0	1
"1244"	1	1	0
"1245"	0	0	1
"1246"	2	0	0
"1247"	0	0	1
"1248"	1	0	0
"1249"	0	1	1
"1250"	2	0	1
"1251"	0	0	1
"1252"	2	1	1
"1254"	6	0	0
"1255"	0	1	1
"1258"	3	0	1
"1259"	0	1	0
"1260"	3	0	0
"1262"	1	0	1
"1263"	0	1	2
"1264"	0	3	0
"1266"	2	3	0
"1267"	0	0	1
"1268"	1	2	2
"1269"	0	0	1
"1270"	3	0	0
"1272"	3	1	0
"1273"	0	0	1
"1274"	2	0	1
"1276"	6	0	0
"1277"	0	1	1
"1278"	1	1	0
"1279"	0	0	1
"1280"	3	1	2
"1281"	0	1	1
"1282"	1	2	1
"1283"	0	1	1
"1284"	0	1	0
"1285"	0	2	1
"1286"	1	0	0
"1287"	0	2	2
"1289"	0	2	0
"1290"	1	0	2
"1291"	0	1	1
"1292"	0	1	1
"1293"	0	1	0
"1294"	1	0	0
"1296"	1	0	0
"1297"	0	0	3
"1298"	1	0	0
"1300"	0	1	0
"1301"	0	2	2
"1302"	2	2	0
"1303"	0	1	0
"1304"	0	0	1
"1305"	0	0	1
"1306"	4	1	0
"1307"	0	1	2
"1309"	0	0	1
"1310"	3	2	2
"1311"	0	0	1
"1312"	3	1	0
"1313"	0	1	1
"1314"	3	1	1
"1316"	2	0	0
"1317"	0	1	0
"1318"	0	2	2
"1319"	0	1	1
"1320"	1	1	0
"1321"	0	1	1
"1323"	0	1	0
"1324"	2	0	0
"1325"	0	0	2
"1326"	3	1	0
"1328"	3	0	1
"1330"	1	0	0
"1331"	0	1	0
"1332"	1	0	0
"1333"	0	1	0
"1334"	1	0	0
"1335"	0	2	0
"1336"	1	0	1
"1340"	3	1	1
"1341"	0	0	1
"1342"	1	0	0
"1344"	1	2	1
"1346"	0	3	0
"1348"	3	0	1
"1349"	0	0	1
"1350"	3	0	0
"1351"	0	1	0
"1352"	3	0	1
"1353"	0	0	1
"1354"	4	0	0
"1355"	0	1	0
"1356"	4	1	1
"1358"	5	1	1
"1359"	0	1	2
"1360"	1	0	0
"1363"	0	1	0
"1364"	2	0	1
"1365"	0	2	0
"1366"	1	1	0
"1367"	0	1	0
"1368"	3	2	0
"1369"	0	3	0
"1370"	1	0	0
"1371"	0	0	1
"1372"	3	0	0
"1373"	0	1	0
"1374"	0	0	1
"1375"	0	1	0
"1376"	2	1	1
"1378"	3	2	0
"1380"	8	1	0
"1382"	1	0	1
"1383"	0	1	0
"1384"	1	3	1
"1386"	1	0	0
"1388"	5	0	0
"1390"	0	1	1
"1392"	1	2	0
"1394"	0	1	0
"1396"	0	1	0
"1398"	2	1	0
"1400"	2	0	1
"1401"	0	1	1
"1402"	1	0	0
"1403"	0	1	0
"1404"	0	1	0
"1405"	0	0	1
"1406"	1	1	0
"1408"	1	0	1
"1410"	1	1	0
"1411"	0	1	1
"1412"	2	1	0
"1415"	0	3	3
"1416"	1	0	1
"1417"	0	1	0
"1418"	1	2	0
"1420"	1	0	1
"1422"	3	0	1
"1424"	3	0	0
"1425"	0	1	0
"1426"	2	0	0
"1427"	0	0	1
"1428"	1	0	1
"1429"	0	2	0
"1431"	0	1	1
"1432"	4	1	2
"1434"	0	1	1
"1435"	0	0	1
"1436"	2	0	0
"1437"	0	0	1
"1438"	0	1	0
"1440"	1	1	0
"1441"	0	1	0
"1442"	1	0	1
"1444"	1	0	0
"1445"	0	2	1
"1446"	2	0	1
"1447"	0	1	0
"1449"	0	0	1
"1450"	1	0	1
"1451"	0	2	0
"1452"	1	1	0
