Junctions	sum	species
CGAMUSTENST00000360194JUNC00080	49	mouse
CGAMUSTENST00000370779JUNC00082	9	mouse
CGAMUSTENST00000453424JUNC00088	29	mouse
CGAMUSTENST00000453424JUNC00089	150	mouse
CGAMUSTENST00000597639JUNC00090	11	mouse
CGAMUSTENST00000414276JUNC00091	21	mouse
CGAMUSTENST00000418153JUNC00095	35	mouse
CGAMUSTENST00000400308JUNC00096	1	mouse
CGAMUSTENST00000403231JUNC00098	41	mouse
CGAMUSTENST00000403231JUNC00099	35	mouse
CGAMUSTENST00000392456JUNC00101	19	mouse
CGAMUSTENST00000392456JUNC00102	37	mouse
CGAMUSTENST00000257414JUNC00105	17	mouse
CGAMUSTENST00000257414JUNC00106	7	mouse
CGAMUSTENST00000373836JUNC00107	51	mouse
CGAMUSTENST00000606561JUNC00110	1	mouse
CGAMUSTENST00000308893JUNC00112	6	mouse
CGAMUSTENST00000320694JUNC00114	70	mouse
CGAMUSTENST00000370198JUNC00115	27	mouse
CGAMUSTENST00000371039JUNC00116	30	mouse
CGAMUSTENST00000371039JUNC00117	7	mouse
CGAMUSTENST00000371039JUNC00118	1	mouse
CGAMUSTENST00000381661JUNC00120	58	mouse
CGAMUSTENSCAFT00000044406JUNC00122	157	mouse
CGAMUSTENST00000526033JUNC00123	73	mouse
CGAMUSTENSCAFT00000024036JUNC00130	12	mouse
CGAMUSTENST00000502640JUNC00131	10	mouse
CGAMUSTENST00000540677JUNC00132	10	mouse
CGAMUSTENST00000542836JUNC00134	9	mouse
CGAMUSTENST00000431992JUNC00136	1	mouse
CGAMUSTENSCAFT00000027630JUNC00137	26	mouse
CGAMUSTENST00000506560JUNC00138	1	mouse
CGAMUSTENST00000222597JUNC00139	29	mouse
CGAMUSTENST00000295951JUNC00144	42	mouse
CGAMUSTENST00000428312JUNC00145	15	mouse
CGAMUSTENST00000397624JUNC00146	3	mouse
CGAMUSTENST00000400181JUNC00147	31	mouse
CGAMUSTENST00000400181JUNC00148	32	mouse
CGAMUSTENST00000378511JUNC00150	1	mouse
CGAMUSTENST00000359786JUNC00151	59	mouse
CGAMUSTENST00000614256JUNC00152	2	mouse
CGAMUSTENST00000355772JUNC00153	1	mouse
CGAMUSTENST00000453295JUNC00154	3	mouse
CGAMUSTENST00000452595JUNC00158	6	mouse
CGAMUSTENST00000357674JUNC00159	146	mouse
CGAMUSTENSCAFT00000012642JUNC00160	3	mouse
CGAMUSTENSCAFT00000049149JUNC00161	50	mouse
CGAMUSTENSCAFT00000049149JUNC00162	38	mouse
CGAMUSTENST00000429174JUNC00163	31	mouse
CGAMUSTENST00000429174JUNC00164	43	mouse
CGAMUSTENST00000488267JUNC00166	30	mouse
CGAMUSTENSCAFT00000020697JUNC00169	1	mouse
CGAMUSTENST00000229471JUNC00170	3	mouse
CGAMUSTENST00000540797JUNC00171	2	mouse
CGAMUSTENSCAFT00000022782JUNC00172	15	mouse
CGAMUSTENST00000301894JUNC00173	233	mouse
CGAMUSTENST00000377551JUNC00174	1	mouse
CGAMUSTENST00000377559JUNC00175	6	mouse
CGAMUSTENST00000377559JUNC00176	18	mouse
CGAMUSTENST00000377559JUNC00177	165	mouse
CGAMUSTENST00000368361JUNC00178	249	mouse
CGAMUSTENST00000420159JUNC00180	2	mouse
CGAMUSTENST00000399357JUNC00181	11	mouse
CGAMUSTENST00000445726JUNC00184	24	mouse
CGATENSMUST00000076043JUNC00002	6	human
CGATENSMUST00000005072JUNC00006	5	human
CGATENSMUST00000069949JUNC00007	62	human
CGATENSMUST00000088419JUNC00008	74	human
CGATENSMUST00000088419JUNC00009	101	human
CGATENSMUST00000088419JUNC00010	217	human
CGATENSMUST00000026416JUNC00011	2	human
CGATENSMUST00000026416JUNC00012	3	human
CGATENSMUST00000060095JUNC00014	143	human
CGATENSMUST00000060095JUNC00015	207	human
CGATENSMUST00000060095JUNC00016	225	human
CGATENSMUST00000096766JUNC00018	35	human
CGATENSMUST00000096766JUNC00019	43	human
CGATENSMUST00000199243JUNC00022	3	human
CGATENSMUST00000090927JUNC00023	248	human
CGATENSMUST00000111291JUNC00025	12	human
CGATENSMUST00000111292JUNC00026	1	human
CGATENSMUST00000113620JUNC00030	44	human
CGATENSMUST00000042503JUNC00031	4	human
CGATENSMUST00000118442JUNC00032	18	human
CGATENSMUST00000118442JUNC00033	17	human
CGATENSMUST00000119385JUNC00034	91	human
CGATENSMUST00000084170JUNC00036	2	human
CGATENSMUST00000114859JUNC00037	7	human
CGATENSMUST00000113190JUNC00040	4	human
CGATENSMUST00000113190JUNC00041	3	human
CGATENSMUST00000066824JUNC00042	4	human
CGATENSMUST00000072481JUNC00043	29	human
CGATENSCAFT00000044406JUNC00046	88	human
CGATENSMUST00000207225JUNC00047	773	human
CGATENSMUST00000108049JUNC00048	6	human
CGATENSMUST00000074046JUNC00049	7	human
CGATENSMUST00000074046JUNC00050	2	human
CGATENSMUST00000078800JUNC00052	44	human
CGATENSMUST00000159063JUNC00053	32	human
CGATENSMUST00000174282JUNC00054	100	human
CGATENSCAFT00000022782JUNC00055	10	human
CGATENSCAFT00000022782JUNC00056	180	human
CGATENSMUST00000077182JUNC00057	9	human
CGATENSMUST00000164290JUNC00058	3	human
CGATENSMUST00000075387JUNC00060	23	human
CGATENSMUST00000197425JUNC00061	10	human
CGATENSMUST00000208446JUNC00062	922	human
CGATENSMUST00000079754JUNC00063	6	human
CGATENSMUST00000079754JUNC00064	3	human
CGATENSCAFT00000027630JUNC00065	89	human
CGATENSMUST00000071268JUNC00066	5	human
CGATENSCAFT00000022682JUNC00067	81	human
CGATENSCAFT00000027252JUNC00068	10	human
CGATENSMUST00000052472JUNC00070	19	human
CGATENSMUST00000052472JUNC00072	2	human
CGATENSCAFT00000031036JUNC00073	1	human
CGATENSMUST00000112294JUNC00074	46	human
CGATENSMUST00000073939JUNC00076	2	human
CGATENSMUST00000112428JUNC00077	170	human
CGATENSMUST00000112428JUNC00078	111	human
CGATENSMUST00000110424JUNC00080	17	human
CGATENSCAFT00000008733JUNC00081	8	human
CGATENSMUST00000115196JUNC00082	6	human
CGATENSMUST00000116437JUNC00083	9	human
CGATENSMUST00000116437JUNC00084	8	human
CGATENSMUST00000028691JUNC00085	295	human
CGATENSMUST00000028691JUNC00086	294	human
CGATENSMUST00000113590JUNC00089	42	human
CGATENSMUST00000113590JUNC00090	1	human
CGATENSCAFT00000024036JUNC00091	200	human
CGATENSMUST00000199256JUNC00092	70	human
CGATENSMUST00000047645JUNC00094	39	human
CGATENSCAFT00000012325JUNC00095	101	human
CGATENSCAFT00000012325JUNC00096	99	human
CGATENSCAFT00000012325JUNC00097	504	human
CGATENSCAFT00000012333JUNC00098	19	human
CGATENSMUST00000099355JUNC00099	42	human
CGATENSMUST00000106151JUNC00100	132	human
CGATENSCAFT00000012642JUNC00103	6	human
CGATENSMUST00000160629JUNC00105	62	human
CGATENSMUST00000203187JUNC00106	31	human
CGATENSMUST00000076968JUNC00109	2	human
CGATENSMUST00000076968JUNC00110	23	human
CGATENSMUST00000076968JUNC00111	31	human
CGATENSMUST00000020884JUNC00113	8	human
CGATENSMUST00000020884JUNC00114	7	human
CGATENSMUST00000107043JUNC00118	3	human
CGATENSCAFT00000017823JUNC00119	314	human
CGATENSCAFT00000017823JUNC00120	179	human
CGATENSMUST00000105992JUNC00121	63	human
CGATENSMUST00000105991JUNC00122	17	human
CGATENSMUST00000110906JUNC00123	5	human
CGATENSMUST00000202567JUNC00125	22	human
CGATENSMUST00000080934JUNC00126	3	human
CGATENSMUST00000108191JUNC00127	8	human
